IDUsuario;RetiroDT;RetiroEstacion;AnclajeDT;AnclajeEstacion
91152;2017-02-28 23:53:51.513;59;2017-03-01 00:03:48.000;77
82771;2017-02-28 23:55:35.670;123;2017-03-01 00:29:51.690;99
22989;2017-03-01 06:00:29.103;87;2017-03-01 06:11:13.000;48
27569;2017-03-01 06:06:38.297;42;2017-03-01 06:14:00.000;26
79391;2017-03-01 06:10:27.563;31;2017-03-01 06:19:54.000;45
65511;2017-03-01 06:16:38.913;71;2017-03-01 06:26:43.970;11
86857;2017-03-01 06:10:13.877;31;2017-03-01 06:29:28.683;110
79206;2017-03-01 06:26:01.797;116;2017-03-01 06:33:01.000;54
85887;2017-03-01 06:21:48.400;51;2017-03-01 06:35:48.057;76
68098;2017-03-01 06:27:52.827;52;2017-03-01 06:38:55.303;109
25260;2017-03-01 06:36:27.427;60;2017-03-01 06:43:02.000;10
69813;2017-03-01 06:21:32.057;23;2017-03-01 06:45:24.030;13
84597;2017-03-01 06:39:29.070;48;2017-03-01 06:47:23.000;18
41141;2017-03-01 06:33:55.740;27;2017-03-01 06:48:47.203;120
78454;2017-03-01 06:41:31.917;10;2017-03-01 06:51:08.000;63
88537;2017-03-01 06:43:30.323;49;2017-03-01 06:54:49.000;14
41117;2017-03-01 06:49:44.250;48;2017-03-01 06:57:08.000;39
57059;2017-03-01 06:31:49.643;72;2017-03-01 06:58:28.350;113
35786;2017-03-01 06:49:06.500;115;2017-03-01 06:59:22.787;52
15991;2017-03-01 06:40:13.273;23;2017-03-01 07:00:13.733;50
87954;2017-03-01 06:52:41.660;106;2017-03-01 07:02:03.000;18
48344;2017-03-01 06:55:48.350;95;2017-03-01 07:03:36.000;39
53530;2017-03-01 06:52:04.627;113;2017-03-01 07:05:38.000;20
25121;2017-03-01 06:58:04.570;23;2017-03-01 07:06:31.237;38
54995;2017-03-01 06:52:34.207;113;2017-03-01 07:07:43.393;99
10986;2017-03-01 06:49:33.313;30;2017-03-01 07:08:41.000;8
70025;2017-03-01 07:02:37.260;122;2017-03-01 07:10:08.897;112
15673;2017-03-01 07:03:16.167;28;2017-03-01 07:12:22.530;25
63916;2017-03-01 07:00:20.417;128;2017-03-01 07:13:13.710;111
1938;2017-03-01 07:06:41.187;75;2017-03-01 07:14:36.000;10
81876;2017-03-01 07:10:58.673;29;2017-03-01 07:16:18.000;49
85458;2017-03-01 07:05:59.247;40;2017-03-01 07:17:13.000;32
53514;2017-03-01 07:05:48.107;95;2017-03-01 07:17:41.000;16
70651;2017-03-01 07:13:17.020;118;2017-03-01 07:20:06.030;109
1187;2017-03-01 07:10:52.750;118;2017-03-01 07:20:12.000;27
31574;2017-03-01 07:13:33.987;11;2017-03-01 07:21:18.000;33
1166;2017-03-01 07:00:52.557;102;2017-03-01 07:22:41.080;118
