CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;01/07/2021;1;0.089;R
ES0031300000000001EX;01/07/2021;2;0.073;R
ES0031300000000001EX;01/07/2021;3;0.083;R
ES0031300000000001EX;01/07/2021;4;0.073;R
ES0031300000000001EX;01/07/2021;5;0.064;R
ES0031300000000001EX;01/07/2021;6;0.061;R
ES0031300000000001EX;01/07/2021;7;0.061;R
ES0031300000000001EX;01/07/2021;8;0.058;R
ES0031300000000001EX;01/07/2021;9;0.155;R
ES0031300000000001EX;01/07/2021;10;0.224;R
ES0031300000000001EX;01/07/2021;11;0.084;R
ES0031300000000001EX;01/07/2021;12;0.072;R
ES0031300000000001EX;01/07/2021;13;0.078;R
ES0031300000000001EX;01/07/2021;14;0.153;R
ES0031300000000001EX;01/07/2021;15;0.704;R
ES0031300000000001EX;01/07/2021;16;0.167;R
ES0031300000000001EX;01/07/2021;17;0.087;R
ES0031300000000001EX;01/07/2021;18;0.082;R
ES0031300000000001EX;01/07/2021;19;0.086;R
ES0031300000000001EX;01/07/2021;20;0.087;R
ES0031300000000001EX;01/07/2021;21;0.091;R
ES0031300000000001EX;01/07/2021;22;0.21;R
ES0031300000000001EX;01/07/2021;23;0.223;R
ES0031300000000001EX;01/07/2021;24;0.218;R
ES0031300000000001EX;02/07/2021;1;0.069;R
ES0031300000000001EX;02/07/2021;2;0.064;R
ES0031300000000001EX;02/07/2021;3;0.105;R
ES0031300000000001EX;02/07/2021;4;0.075;R
ES0031300000000001EX;02/07/2021;5;0.061;R
ES0031300000000001EX;02/07/2021;6;0.059;R
ES0031300000000001EX;02/07/2021;7;0.056;R
ES0031300000000001EX;02/07/2021;8;0.058;R
ES0031300000000001EX;02/07/2021;9;0.157;R
ES0031300000000001EX;02/07/2021;10;0.373;R
ES0031300000000001EX;02/07/2021;11;0.349;R
ES0031300000000001EX;02/07/2021;12;0.132;R
ES0031300000000001EX;02/07/2021;13;0.093;R
