CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000000ED;01/05/2021;1;0.115;R
ES0031300000000000ED;01/05/2021;2;0.1;R
ES0031300000000000ED;01/05/2021;3;0.039;R
ES0031300000000000ED;01/05/2021;4;0.097;R
ES0031300000000000ED;01/05/2021;5;0.036;R
ES0031300000000000ED;01/05/2021;6;0.096;R
ES0031300000000000ED;01/05/2021;7;0.047;R
ES0031300000000000ED;01/05/2021;8;0.135;R
ES0031300000000000ED;01/05/2021;9;0.615;R
ES0031300000000000ED;01/05/2021;10;1.112;R
ES0031300000000000ED;01/05/2021;11;0.765;R
ES0031300000000000ED;01/05/2021;12;0.549;R
ES0031300000000000ED;01/05/2021;13;0.078;R
ES0031300000000000ED;01/05/2021;14;0.665;R
ES0031300000000000ED;01/05/2021;15;0.392;R
ES0031300000000000ED;01/05/2021;16;0.24;R
ES0031300000000000ED;01/05/2021;17;0.264;R
ES0031300000000000ED;01/05/2021;18;0.249;R
ES0031300000000000ED;01/05/2021;19;0.223;R
ES0031300000000000ED;01/05/2021;20;0.252;R
ES0031300000000000ED;01/05/2021;21;0.264;R
ES0031300000000000ED;01/05/2021;22;0.285;R
ES0031300000000000ED;01/05/2021;23;0.35;R
ES0031300000000000ED;01/05/2021;24;0.269;R
ES0031300000000000ED;02/05/2021;1;0.362;R
ES0031300000000000ED;02/05/2021;2;0.091;R
ES0031300000000000ED;02/05/2021;3;0.086;R
ES0031300000000000ED;02/05/2021;4;0.075;R
ES0031300000000000ED;02/05/2021;5;0.058;R
ES0031300000000000ED;02/05/2021;6;0.065;R
ES0031300000000000ED;02/05/2021;7;0.079;R
ES0031300000000000ED;02/05/2021;8;0.079;R
ES0031300000000000ED;02/05/2021;9;0.166;R
ES0031300000000000ED;02/05/2021;10;0.362;R
ES0031300000000000ED;02/05/2021;11;0.454;R
ES0031300000000000ED;02/05/2021;12;0.314;R
ES0031300000000000ED;02/05/2021;13;0.266;R
ES0031300000000000ED;02/05/2021;14;0.944;R
ES0031300000000000ED;02/05/2021;15;1.982;R
ES0031300000000000ED;02/05/2021;16;0.25;R
ES0031300000000000ED;02/05/2021;17;0.266;R
ES0031300000000000ED;02/05/2021;18;0.264;R
ES0031300000000000ED;02/05/2021;19;0.237;R
ES0031300000000000ED;02/05/2021;20;0.23;R
ES0031300000000000ED;02/05/2021;21;0.105;R
ES0031300000000000ED;02/05/2021;22;0.233;R
ES0031300000000000ED;02/05/2021;23;0.329;R
ES0031300000000000ED;02/05/2021;24;0.17;R
ES0031300000000000ED;03/05/2021;1;0.12;R
ES0031300000000000ED;03/05/2021;2;0.098;R
ES0031300000000000ED;03/05/2021;3;0.068;R
ES0031300000000000ED;03/05/2021;4;0.063;R
ES0031300000000000ED;03/05/2021;5;0.313;R
ES0031300000000000ED;03/05/2021;6;0.08;R
ES0031300000000000ED;03/05/2021;7;0.08;R
ES0031300000000000ED;03/05/2021;8;0.159;R
ES0031300000000000ED;03/05/2021;9;0.248;R
ES0031300000000000ED;03/05/2021;10;0.081;R
ES0031300000000000ED;03/05/2021;11;0.261;R
ES0031300000000000ED;03/05/2021;12;0.101;R
ES0031300000000000ED;03/05/2021;13;1.68;R
ES0031300000000000ED;03/05/2021;14;0.259;R
ES0031300000000000ED;03/05/2021;15;0.274;R
ES0031300000000000ED;03/05/2021;16;0.267;R
ES0031300000000000ED;03/05/2021;17;0.235;R
ES0031300000000000ED;03/05/2021;18;0.243;R
ES0031300000000000ED;03/05/2021;19;0.14;R
ES0031300000000000ED;03/05/2021;20;0.091;R
ES0031300000000000ED;03/05/2021;21;0.064;R
ES0031300000000000ED;03/05/2021;22;0.279;R
ES0031300000000000ED;03/05/2021;23;0.153;R
ES0031300000000000ED;03/05/2021;24;0.197;R
ES0031300000000000ED;04/05/2021;1;0.078;R
ES0031300000000000ED;04/05/2021;2;0.064;R
ES0031300000000000ED;04/05/2021;3;0.321;R
ES0031300000000000ED;04/05/2021;4;0.083;R
ES0031300000000000ED;04/05/2021;5;0.083;R
ES0031300000000000ED;04/05/2021;6;0.066;R
ES0031300000000000ED;04/05/2021;7;0.057;R
ES0031300000000000ED;04/05/2021;8;0.076;R
ES0031300000000000ED;04/05/2021;9;0.228;R
ES0031300000000000ED;04/05/2021;10;0.904;R
ES0031300000000000ED;04/05/2021;11;0.563;R
ES0031300000000000ED;04/05/2021;12;1.816;R
ES0031300000000000ED;04/05/2021;13;0.215;R
ES0031300000000000ED;04/05/2021;14;1.083;R
ES0031300000000000ED;04/05/2021;15;0.41;R
ES0031300000000000ED;04/05/2021;16;0.233;R
ES0031300000000000ED;04/05/2021;17;0.144;R
ES0031300000000000ED;04/05/2021;18;0.125;R
ES0031300000000000ED;04/05/2021;19;0.308;R
ES0031300000000000ED;04/05/2021;20;0.101;R
ES0031300000000000ED;04/05/2021;21;0.092;R
ES0031300000000000ED;04/05/2021;22;0.712;R
ES0031300000000000ED;04/05/2021;23;0.59;R
ES0031300000000000ED;04/05/2021;24;0.288;R
ES0031300000000000ED;05/05/2021;1;0.293;R
ES0031300000000000ED;05/05/2021;2;0.136;R
ES0031300000000000ED;05/05/2021;3;0.082;R
ES0031300000000000ED;05/05/2021;4;0.094;R
ES0031300000000000ED;05/05/2021;5;0.091;R
ES0031300000000000ED;05/05/2021;6;0.056;R
ES0031300000000000ED;05/05/2021;7;0.076;R
ES0031300000000000ED;05/05/2021;8;0.116;R
ES0031300000000000ED;05/05/2021;9;0.242;R
ES0031300000000000ED;05/05/2021;10;0.2;R
ES0031300000000000ED;05/05/2021;11;0.133;R
ES0031300000000000ED;05/05/2021;12;0.102;R
ES0031300000000000ED;05/05/2021;13;0.334;R
ES0031300000000000ED;05/05/2021;14;0.716;R
ES0031300000000000ED;05/05/2021;15;0.82;R
ES0031300000000000ED;05/05/2021;16;0.243;R
ES0031300000000000ED;05/05/2021;17;0.15;R
ES0031300000000000ED;05/05/2021;18;0.087;R
ES0031300000000000ED;05/05/2021;19;0.109;R
ES0031300000000000ED;05/05/2021;20;0.124;R
ES0031300000000000ED;05/05/2021;21;0.069;R
ES0031300000000000ED;05/05/2021;22;1.186;R
ES0031300000000000ED;05/05/2021;23;0.378;R
ES0031300000000000ED;05/05/2021;24;0.164;R
ES0031300000000000ED;06/05/2021;1;0.12;R
ES0031300000000000ED;06/05/2021;2;0.081;R
ES0031300000000000ED;06/05/2021;3;0.07;R
ES0031300000000000ED;06/05/2021;4;0.107;R
ES0031300000000000ED;06/05/2021;5;0.054;R
ES0031300000000000ED;06/05/2021;6;0.167;R
ES0031300000000000ED;06/05/2021;7;0.063;R
ES0031300000000000ED;06/05/2021;8;0.108;R
ES0031300000000000ED;06/05/2021;9;0.205;R
ES0031300000000000ED;06/05/2021;10;0.274;R
ES0031300000000000ED;06/05/2021;11;1.074;R
ES0031300000000000ED;06/05/2021;12;0.226;R
ES0031300000000000ED;06/05/2021;13;0.26;R
ES0031300000000000ED;06/05/2021;14;0.154;R
ES0031300000000000ED;06/05/2021;15;0.635;R
ES0031300000000000ED;06/05/2021;16;0.219;R
ES0031300000000000ED;06/05/2021;17;0.119;R
ES0031300000000000ED;06/05/2021;18;0.108;R
ES0031300000000000ED;06/05/2021;19;0.106;R
ES0031300000000000ED;06/05/2021;20;0.083;R
ES0031300000000000ED;06/05/2021;21;0.106;R
