id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;116.33;2021-06-01T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;115.95;2021-06-01T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.89;2021-06-01T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.96;2021-06-01T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.84;2021-06-01T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;116.03;2021-06-01T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;116.29;2021-06-01T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;115.7;2021-06-01T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;152.89;2021-06-01T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;150.83;2021-06-01T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;242.62;2021-06-01T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;240.5;2021-06-01T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;238.09;2021-06-01T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.3;2021-06-01T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.96;2021-06-01T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;132.88;2021-06-01T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;131.93;2021-06-01T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;135.99;2021-06-01T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.44;2021-06-01T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;240.4;2021-06-01T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;246.2;2021-06-01T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;248.08;2021-06-01T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;155.91;2021-06-01T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;156.5;2021-06-01T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;116.2;2021-06-02T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;114.37;2021-06-02T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;112.53;2021-06-02T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;112.87;2021-06-02T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.85;2021-06-02T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;111.97;2021-06-02T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;115.76;2021-06-02T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;115.64;2021-06-02T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;152.96;2021-06-02T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;148.53;2021-06-02T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;239.96;2021-06-02T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;236.68;2021-06-02T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.64;2021-06-02T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.05;2021-06-02T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;138.51;2021-06-02T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;136.15;2021-06-02T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;132.27;2021-06-02T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;136.19;2021-06-02T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.2;2021-06-02T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;236.77;2021-06-02T19:00:00+02:00
